cliente_id,codigo_cliente,razao_social,segmento,cidade,uf,data_cadastro,ativo
93,CLI000093,Cliente 0093,Atacado,Olinda,PE,2024-11-12,True
94,CLI000094,Cliente 0094,Bar,Recife,PE,2021-10-18,True
95,CLI000095,Cliente 0095,Conveniência,Recife,PE,2021-11-27,True
96,CLI000096,Cliente 0096,Conveniência,Olinda,PE,2024-02-05,True
97,CLI000097,Cliente 0097,Restaurante,Fortaleza,CE,2024-02-04,True
98,CLI000098,Cliente 0098,Bar,Caucaia,CE,2024-06-22,True
99,CLI000099,Cliente 0099,Atacado,Feira de Santana,BA,2022-07-21,True
100,CLI000100,Cliente 0100,Atacado,São Luís,MA,2024-05-02,True
101,CLI000101,Cliente 0101,Bar,Recife,PE,2024-04-28,True
102,CLI000102,Cliente 0102,Atacado,Salvador,BA,2023-01-13,True
103,CLI000103,Cliente 0103,Bar,Maracanaú,CE,2021-11-07,True
104,CLI000104,Cliente 0104,Mercadinho,Fortaleza,CE,2023-04-05,True
105,CLI000105,Cliente 0105,Mercadinho,Recife,PE,2025-04-19,True
106,CLI000106,Cliente 0106,Restaurante,Recife,PE,2022-10-01,True
107,CLI000107,Cliente 0107,Supermercado,Caucaia,CE,2025-05-26,True
108,CLI000108,Cliente 0108,Supermercado,Fortaleza,CE,2021-06-26,True
109,CLI000109,Cliente 0109,Mercadinho,Salvador,BA,2022-05-02,True
110,CLI000110,Cliente 0110,Atacado,Feira de Santana,BA,2021-12-03,True
111,CLI000111,Cliente 0111,Atacado,Salvador,BA,2025-02-15,True
112,CLI000112,Cliente 0112,Conveniência,Fortaleza,CE,2025-05-15,True
113,CLI000113,Cliente 0113,Mercadinho,Fortaleza,CE,2024-07-14,True
114,CLI000114,Cliente 0114,Conveniência,São Luís,MA,2024-02-03,True
115,CLI000115,Cliente 0115,Mercadinho,Caucaia,CE,2022-05-20,True
116,CLI000116,Cliente 0116,Bar,Salvador,BA,2025-09-10,True
117,CLI000117,Cliente 0117,Mercadinho,Feira de Santana,BA,2021-11-21,True
118,CLI000118,Cliente 0118,Bar,Recife,PE,2024-04-14,True
119,CLI000119,Cliente 0119,Bar,São Luís,MA,2024-12-04,True
120,CLI000120,Cliente 0120,Conveniência,Salvador,BA,2023-06-05,True
121,CLI000121,Cliente 0121,Mercadinho,São Luís,MA,2021-02-03,True
122,CLI000122,Cliente 0122,Supermercado,Salvador,BA,2025-01-19,True
123,CLI000123,Cliente 0123,Conveniência,Salvador,BA,2021-07-12,True
124,CLI000124,Cliente 0124,Conveniência,Feira de Santana,BA,2021-05-20,True
125,CLI000125,Cliente 0125,Atacado,Maracanaú,CE,2025-04-05,True
126,CLI000126,Cliente 0126,Mercadinho,Recife,PE,2023-09-12,True
127,CLI000127,Cliente 0127,Atacado,Olinda,PE,2022-07-28,True
128,CLI000128,Cliente 0128,Atacado,Fortaleza,CE,2023-01-06,True
129,CLI000129,Cliente 0129,Restaurante,Olinda,PE,2023-01-06,True
130,CLI000130,Cliente 0130,Mercadinho,Feira de Santana,BA,2022-12-21,True
131,CLI000131,Cliente 0131,Conveniência,Maracanaú,CE,2025-04-13,True
132,CLI000132,Cliente 0132,Supermercado,Salvador,BA,2023-05-24,True
133,CLI000133,Cliente 0133,Mercadinho,Maracanaú,CE,2022-03-25,True
134,CLI000134,Cliente 0134,Restaurante,Maracanaú,CE,2024-11-14,True
135,CLI000135,Cliente 0135,Bar,São Luís,MA,2023-04-25,True
136,CLI000136,Cliente 0136,Bar,Salvador,BA,2021-05-22,True
137,CLI000137,Cliente 0137,Atacado,São Luís,MA,2023-01-08,True
138,CLI000138,Cliente 0138,Mercadinho,Fortaleza,CE,2022-05-07,True
139,CLI000139,Cliente 0139,Restaurante,Olinda,PE,2023-02-01,True
140,CLI000140,Cliente 0140,Supermercado,Feira de Santana,BA,2022-07-18,True
141,CLI000141,Cliente 0141,Mercadinho,Salvador,BA,2024-12-02,True
142,CLI000142,Cliente 0142,Mercadinho,São Luís,MA,2023-10-14,True
143,CLI000143,Cliente 0143,Restaurante,Feira de Santana,BA,2021-07-01,True
144,CLI000144,Cliente 0144,Atacado,Caucaia,CE,2024-12-12,True
145,CLI000145,Cliente 0145,Supermercado,Maracanaú,CE,2024-10-13,True
146,CLI000146,Cliente 0146,Restaurante,Feira de Santana,BA,2023-04-11,True
147,CLI000147,Cliente 0147,Atacado,Maracanaú,CE,2021-09-17,True
148,CLI000148,Cliente 0148,Restaurante,Salvador,BA,2022-04-04,True
149,CLI000149,Cliente 0149,Supermercado,Recife,PE,2025-03-25,True
150,CLI000150,Cliente 0150,Supermercado,Maracanaú,CE,2024-08-25,True
151,CLI000151,Cliente 0151,Conveniência,São Luís,MA,2025-11-21,True
152,CLI000152,Cliente 0152,Conveniência,Salvador,BA,2023-03-15,True
153,CLI000153,Cliente 0153,Conveniência,São Luís,MA,2023-05-19,True
154,CLI000154,Cliente 0154,Restaurante,Maracanaú,CE,2024-08-02,True
155,CLI000155,Cliente 0155,Mercadinho,Olinda,PE,2021-10-20,True
156,CLI000156,Cliente 0156,Atacado,São Luís,MA,2025-12-02,True
157,CLI000157,Cliente 0157,Restaurante,Recife,PE,2025-08-17,True
158,CLI000158,Cliente 0158,Bar,Fortaleza,CE,2021-06-23,True
159,CLI000159,Cliente 0159,Mercadinho,Caucaia,CE,2022-12-15,True
160,CLI000160,Cliente 0160,Restaurante,Caucaia,CE,2023-05-13,True
161,CLI000161,Cliente 0161,Conveniência,Salvador,BA,2025-01-26,True
162,CLI000162,Cliente 0162,Mercadinho,Salvador,BA,2023-02-18,True
163,CLI000163,Cliente 0163,Restaurante,Olinda,PE,2025-03-11,True
164,CLI000164,Cliente 0164,Restaurante,Caucaia,CE,2023-11-23,True
165,CLI000165,Cliente 0165,Atacado,Caucaia,CE,2021-05-18,True
166,CLI000166,Cliente 0166,Supermercado,Salvador,BA,2025-02-21,True
167,CLI000167,Cliente 0167,Mercadinho,Salvador,BA,2023-05-06,True
168,CLI000168,Cliente 0168,Bar,Salvador,BA,2022-04-05,True
169,CLI000169,Cliente 0169,Mercadinho,Olinda,PE,2025-09-27,True
170,CLI000170,Cliente 0170,Conveniência,Fortaleza,CE,2023-10-05,True
171,CLI000171,Cliente 0171,Supermercado,Caucaia,CE,2022-12-25,True
172,CLI000172,Cliente 0172,Conveniência,Caucaia,CE,2024-01-14,True
173,CLI000173,Cliente 0173,Bar,Recife,PE,2025-05-25,True
174,CLI000174,Cliente 0174,Supermercado,São Luís,MA,2025-04-10,True
175,CLI000175,Cliente 0175,Supermercado,São Luís,MA,2023-11-19,True
176,CLI000176,Cliente 0176,Restaurante,São Luís,MA,2024-09-17,True
177,CLI000177,Cliente 0177,Supermercado,Caucaia,CE,2025-03-28,True
178,CLI000178,Cliente 0178,Restaurante,São Luís,MA,2025-02-23,True
179,CLI000179,Cliente 0179,Restaurante,Maracanaú,CE,2021-03-09,True
180,CLI000180,Cliente 0180,Bar,Caucaia,CE,2021-04-27,True
181,CLI000181,Cliente 0181,Mercadinho,Salvador,BA,2024-01-13,True
182,CLI000182,Cliente 0182,Bar,Recife,PE,2021-06-08,False
183,CLI000183,Cliente 0183,Conveniência,Maracanaú,CE,2023-03-05,True
184,CLI000184,Cliente 0184,Conveniência,São Luís,MA,2022-12-16,True
185,CLI000185,Cliente 0185,Mercadinho,Fortaleza,CE,2021-05-07,True
186,CLI000186,Cliente 0186,Mercadinho,Feira de Santana,BA,2023-04-10,True
187,CLI000187,Cliente 0187,Bar,Recife,PE,2025-08-03,True
188,CLI000188,Cliente 0188,Atacado,São Luís,MA,2025-01-21,True
189,CLI000189,Cliente 0189,Conveniência,Recife,PE,2022-05-14,False
190,CLI000190,Cliente 0190,Supermercado,Salvador,BA,2025-07-06,True
191,CLI000191,Cliente 0191,Atacado,Maracanaú,CE,2023-02-17,True
192,CLI000192,Cliente 0192,Bar,Fortaleza,CE,2024-01-21,True
193,CLI000193,Cliente 0193,Restaurante,Salvador,BA,2021-06-26,True
194,CLI000194,Cliente 0194,Conveniência,Recife,PE,2021-10-24,True
195,CLI000195,Cliente 0195,Mercadinho,Caucaia,CE,2023-09-11,True
196,CLI000196,Cliente 0196,Conveniência,Caucaia,CE,2024-12-16,True
197,CLI000197,Cliente 0197,Mercadinho,Caucaia,CE,2024-01-10,True
198,CLI000198,Cliente 0198,Mercadinho,Recife,PE,2023-05-17,True
199,CLI000199,Cliente 0199,Restaurante,São Luís,MA,2021-11-07,True
200,CLI000200,Cliente 0200,Conveniência,Fortaleza,CE,2023-05-04,True
201,CLI000201,Cliente 0201,Bar,Feira de Santana,BA,2024-07-11,True
202,CLI000202,Cliente 0202,Conveniência,São Luís,MA,2024-06-26,True
203,CLI000203,Cliente 0203,Conveniência,Maracanaú,CE,2024-02-14,True
204,CLI000204,Cliente 0204,Atacado,Caucaia,CE,2023-06-04,True
205,CLI000205,Cliente 0205,Restaurante,Olinda,PE,2024-10-23,True
206,CLI000206,Cliente 0206,Restaurante,São Luís,MA,2024-01-24,True
207,CLI000207,Cliente 0207,Atacado,Salvador,BA,2024-05-21,True
208,CLI000208,Cliente 0208,Mercadinho,Fortaleza,CE,2024-06-17,True
209,CLI000209,Cliente 0209,Mercadinho,Caucaia,CE,2022-10-22,True
210,CLI000210,Cliente 0210,Supermercado,Fortaleza,CE,2021-04-25,True
211,CLI000211,Cliente 0211,Bar,Salvador,BA,2025-01-20,True
212,CLI000212,Cliente 0212,Restaurante,São Luís,MA,2023-08-25,True
213,CLI000213,Cliente 0213,Atacado,Caucaia,CE,2023-07-11,True
214,CLI000214,Cliente 0214,Mercadinho,Recife,PE,2021-12-06,True
215,CLI000215,Cliente 0215,Atacado,Feira de Santana,BA,2021-05-25,True
216,CLI000216,Cliente 0216,Supermercado,São Luís,MA,2025-05-23,True
217,CLI000217,Cliente 0217,Supermercado,São Luís,MA,2021-03-28,True
218,CLI000218,Cliente 0218,Conveniência,Caucaia,CE,2024-02-26,True
219,CLI000219,Cliente 0219,Conveniência,Salvador,BA,2023-12-03,True
220,CLI000220,Cliente 0220,Restaurante,Olinda,PE,2022-12-23,True
221,CLI000221,Cliente 0221,Restaurante,Caucaia,CE,2025-04-04,True
222,CLI000222,Cliente 0222,Supermercado,Caucaia,CE,2024-01-12,True
223,CLI000223,Cliente 0223,Bar,Salvador,BA,2025-03-20,True
224,CLI000224,Cliente 0224,Restaurante,Maracanaú,CE,2024-12-24,True
225,CLI000225,Cliente 0225,Bar,Feira de Santana,BA,2025-02-05,True
226,CLI000226,Cliente 0226,Bar,Maracanaú,CE,2024-11-17,True
227,CLI000227,Cliente 0227,Supermercado,Caucaia,CE,2024-09-28,True
228,CLI000228,Cliente 0228,Atacado,Maracanaú,CE,2022-05-06,True
229,CLI000229,Cliente 0229,Restaurante,Recife,PE,2025-05-28,True
230,CLI000230,Cliente 0230,Conveniência,Recife,PE,2025-05-05,True
231,CLI000231,Cliente 0231,Atacado,Maracanaú,CE,2022-10-19,True
232,CLI000232,Cliente 0232,Atacado,Salvador,BA,2021-01-03,True
233,CLI000233,Cliente 0233,Conveniência,Olinda,PE,2022-10-14,True
234,CLI000234,Cliente 0234,Bar,Fortaleza,CE,2025-05-21,True
235,CLI000235,Cliente 0235,Supermercado,São Luís,MA,2024-05-15,True
236,CLI000236,Cliente 0236,Supermercado,Fortaleza,CE,2024-07-16,True
237,CLI000237,Cliente 0237,Atacado,Salvador,BA,2022-06-28,True
238,CLI000238,Cliente 0238,Bar,Salvador,BA,2022-06-17,True
239,CLI000239,Cliente 0239,Supermercado,Salvador,BA,2024-02-09,True
240,CLI000240,Cliente 0240,Mercadinho,Caucaia,CE,2021-05-13,True
241,CLI000241,Cliente 0241,Supermercado,Feira de Santana,BA,2022-06-19,True
242,CLI000242,Cliente 0242,Supermercado,Recife,PE,2024-09-15,True
243,CLI000243,Cliente 0243,Bar,Olinda,PE,2021-02-13,True
244,CLI000244,Cliente 0244,Supermercado,Recife,PE,2025-06-02,True
245,CLI000245,Cliente 0245,Atacado,São Luís,MA,2024-05-18,False
246,CLI000246,Cliente 0246,Bar,Maracanaú,CE,2022-05-24,True
247,CLI000247,Cliente 0247,Restaurante,Feira de Santana,BA,2021-07-02,True
248,CLI000248,Cliente 0248,Restaurante,Recife,PE,2025-05-03,True
249,CLI000249,Cliente 0249,Atacado,São Luís,MA,2023-10-22,True
250,CLI000250,Cliente 0250,Mercadinho,Caucaia,CE,2024-06-26,True
251,CLI000251,Cliente 0251,Supermercado,Salvador,BA,2022-10-17,True
252,CLI000252,Cliente 0252,Mercadinho,Fortaleza,CE,2021-03-23,True
253,CLI000253,Cliente 0253,Atacado,São Luís,MA,2024-03-20,True
254,CLI000254,Cliente 0254,Restaurante,Caucaia,CE,2025-06-06,True
255,CLI000255,Cliente 0255,Atacado,Olinda,PE,2023-09-27,True
256,CLI000256,Cliente 0256,Conveniência,São Luís,MA,2025-05-16,True
257,CLI000257,Cliente 0257,Restaurante,Salvador,BA,2021-07-19,True
258,CLI000258,Cliente 0258,Atacado,Fortaleza,CE,2024-05-21,True
259,CLI000259,Cliente 0259,Conveniência,Recife,PE,2021-10-16,True
260,CLI000260,Cliente 0260,Supermercado,Feira de Santana,BA,2022-01-19,True
261,CLI000261,Cliente 0261,Supermercado,Maracanaú,CE,2021-08-11,True
262,CLI000262,Cliente 0262,Conveniência,Feira de Santana,BA,2022-07-17,True
263,CLI000263,Cliente 0263,Conveniência,São Luís,MA,2021-12-05,True
264,CLI000264,Cliente 0264,Conveniência,Salvador,BA,2024-09-13,True
265,CLI000265,Cliente 0265,Bar,Caucaia,CE,2025-06-18,True
266,CLI000266,Cliente 0266,Atacado,Olinda,PE,2024-04-08,True
267,CLI000267,Cliente 0267,Supermercado,Olinda,PE,2023-05-23,True
268,CLI000268,Cliente 0268,Restaurante,São Luís,MA,2024-06-18,True
269,CLI000269,Cliente 0269,Restaurante,Olinda,PE,2021-10-22,True
270,CLI000270,Cliente 0270,Restaurante,Feira de Santana,BA,2022-05-02,True
271,CLI000271,Cliente 0271,Restaurante,Maracanaú,CE,2024-11-09,True
272,CLI000272,Cliente 0272,Supermercado,Recife,PE,2025-05-18,True
273,CLI000273,Cliente 0273,Mercadinho,Caucaia,CE,2025-12-19,True
274,CLI000274,Cliente 0274,Conveniência,Fortaleza,CE,2025-04-21,True
275,CLI000275,Cliente 0275,Bar,Maracanaú,CE,2023-12-16,True
276,CLI000276,Cliente 0276,Mercadinho,Caucaia,CE,2025-03-14,True
277,CLI000277,Cliente 0277,Bar,São Luís,MA,2022-05-11,True
278,CLI000278,Cliente 0278,Mercadinho,Fortaleza,CE,2025-04-18,True
279,CLI000279,Cliente 0279,Supermercado,Fortaleza,CE,2024-03-02,True
280,CLI000280,Cliente 0280,Bar,Feira de Santana,BA,2022-12-28,True
281,CLI000281,Cliente 0281,Mercadinho,Fortaleza,CE,2023-10-20,True
282,CLI000282,Cliente 0282,Restaurante,Salvador,BA,2024-11-18,True
283,CLI000283,Cliente 0283,Atacado,Caucaia,CE,2024-05-07,True
284,CLI000284,Cliente 0284,Supermercado,Salvador,BA,2024-11-09,True
285,CLI000285,Cliente 0285,Conveniência,Fortaleza,CE,2023-05-19,True
286,CLI000286,Cliente 0286,Supermercado,Recife,PE,2025-11-13,True
287,CLI000287,Cliente 0287,Mercadinho,Salvador,BA,2024-11-04,True
288,CLI000288,Cliente 0288,Bar,Caucaia,CE,2023-04-01,True
289,CLI000289,Cliente 0289,Bar,Recife,PE,2023-06-10,True
290,CLI000290,Cliente 0290,Restaurante,Fortaleza,CE,2023-12-08,True
291,CLI000291,Cliente 0291,Bar,Maracanaú,CE,2023-03-13,True
292,CLI000292,Cliente 0292,Conveniência,Olinda,PE,2021-11-10,True
293,CLI000293,Cliente 0293,Supermercado,Recife,PE,2022-08-05,True
294,CLI000294,Cliente 0294,Bar,Salvador,BA,2025-08-25,True
295,CLI000295,Cliente 0295,Supermercado,Recife,PE,2025-02-17,True
296,CLI000296,Cliente 0296,Mercadinho,Salvador,BA,2025-02-02,True
297,CLI000297,Cliente 0297,Atacado,Recife,PE,2025-03-06,True
298,CLI000298,Cliente 0298,Mercadinho,São Luís,MA,2022-12-19,True
299,CLI000299,Cliente 0299,Mercadinho,São Luís,MA,2024-03-17,True
300,CLI000300,Cliente 0300,Atacado,Fortaleza,CE,2024-11-26,True
301,CLI000301,Cliente 0301,Bar,Fortaleza,CE,2023-01-24,True
302,CLI000302,Cliente 0302,Mercadinho,Maracanaú,CE,2024-06-23,True
303,CLI000303,Cliente 0303,Mercadinho,Fortaleza,CE,2024-01-10,True
304,CLI000304,Cliente 0304,Conveniência,Caucaia,CE,2024-06-13,True
305,CLI000305,Cliente 0305,Bar,Feira de Santana,BA,2021-11-22,True
306,CLI000306,Cliente 0306,Conveniência,Caucaia,CE,2023-02-06,True
307,CLI000307,Cliente 0307,Atacado,Feira de Santana,BA,2022-12-08,True
308,CLI000308,Cliente 0308,Restaurante,Fortaleza,CE,2024-11-24,True
309,CLI000309,Cliente 0309,Supermercado,Feira de Santana,BA,2022-08-12,True
310,CLI000310,Cliente 0310,Conveniência,Recife,PE,2021-01-26,True
311,CLI000311,Cliente 0311,Supermercado,Fortaleza,CE,2022-02-04,True
312,CLI000312,Cliente 0312,Atacado,São Luís,MA,2021-04-24,True
313,CLI000313,Cliente 0313,Supermercado,São Luís,MA,2025-04-25,True
314,CLI000314,Cliente 0314,Supermercado,Fortaleza,CE,2025-05-08,True
315,CLI000315,Cliente 0315,Atacado,Salvador,BA,2025-11-27,True
316,CLI000316,Cliente 0316,Supermercado,Olinda,PE,2025-04-14,True
317,CLI000317,Cliente 0317,Atacado,Fortaleza,CE,2025-12-06,True
318,CLI000318,Cliente 0318,Atacado,Feira de Santana,BA,2024-01-12,True
319,CLI000319,Cliente 0319,Atacado,Feira de Santana,BA,2023-12-14,True
320,CLI000320,Cliente 0320,Bar,Olinda,PE,2022-09-16,True
321,CLI000321,Cliente 0321,Restaurante,Recife,PE,2022-08-02,True
322,CLI000322,Cliente 0322,Atacado,Feira de Santana,BA,2025-03-13,True
323,CLI000323,Cliente 0323,Restaurante,Recife,PE,2021-08-28,True
324,CLI000324,Cliente 0324,Mercadinho,Recife,PE,2023-07-22,True
325,CLI000325,Cliente 0325,Mercadinho,Fortaleza,CE,2022-10-24,True
326,CLI000326,Cliente 0326,Bar,Recife,PE,2022-06-10,True
327,CLI000327,Cliente 0327,Supermercado,Fortaleza,CE,2022-12-04,True
328,CLI000328,Cliente 0328,Supermercado,São Luís,MA,2025-12-07,True
329,CLI000329,Cliente 0329,Atacado,Recife,PE,2023-05-13,True
330,CLI000330,Cliente 0330,Restaurante,Salvador,BA,2023-06-17,True
331,CLI000331,Cliente 0331,Mercadinho,São Luís,MA,2024-06-07,True
332,CLI000332,Cliente 0332,Mercadinho,Feira de Santana,BA,2025-04-24,True
333,CLI000333,Cliente 0333,Atacado,Olinda,PE,2025-10-24,True
334,CLI000334,Cliente 0334,Supermercado,Caucaia,CE,2023-04-13,True
335,CLI000335,Cliente 0335,Bar,Recife,PE,2025-11-22,True
336,CLI000336,Cliente 0336,Conveniência,São Luís,MA,2024-08-06,True
337,CLI000337,Cliente 0337,Supermercado,Salvador,BA,2022-12-18,True
338,CLI000338,Cliente 0338,Atacado,Fortaleza,CE,2021-02-27,True
339,CLI000339,Cliente 0339,Bar,Fortaleza,CE,2022-11-08,True
340,CLI000340,Cliente 0340,Mercadinho,Caucaia,CE,2022-09-15,True
341,CLI000341,Cliente 0341,Conveniência,São Luís,MA,2024-01-01,True
342,CLI000342,Cliente 0342,Mercadinho,Feira de Santana,BA,2021-09-24,True
343,CLI000343,Cliente 0343,Mercadinho,Olinda,PE,2025-12-22,True
344,CLI000344,Cliente 0344,Mercadinho,Caucaia,CE,2021-09-05,True
345,CLI000345,Cliente 0345,Restaurante,Olinda,PE,2023-07-03,True
346,CLI000346,Cliente 0346,Bar,Feira de Santana,BA,2025-04-23,True
347,CLI000347,Cliente 0347,Conveniência,Maracanaú,CE,2021-02-13,True
348,CLI000348,Cliente 0348,Mercadinho,São Luís,MA,2021-12-06,True
349,CLI000349,Cliente 0349,Conveniência,Feira de Santana,BA,2023-10-28,True
350,CLI000350,Cliente 0350,Supermercado,Fortaleza,CE,2022-12-19,True
351,CLI000351,Cliente 0351,Mercadinho,Fortaleza,CE,2023-09-19,True
352,CLI000352,Cliente 0352,Restaurante,Caucaia,CE,2021-04-19,True
