venda_id,data_venda,cliente_id,produto_id,vendedor_id,quantidade,desconto_pct,preco_unitario,valor_bruto,valor_liquido,cd_id
31,2026-04-06,1250,75,34,23,0.02,5.8,133.4,130.73,3
32,2026-06-27,2274,79,53,23,0.0,11.94,274.62,274.62,2
33,2026-07-05,1340,58,6,43,0.1,6.97,299.71,269.74,5
34,2026-03-27,2544,9,52,8,0.08,8.06,64.48,59.32,1
35,2026-07-17,652,38,15,38,0.0,8.53,324.14,324.14,4
36,2026-03-05,599,29,52,29,0.0,9.08,263.32,263.32,1
37,2026-02-22,1212,14,40,39,0.0,4.75,185.25,185.25,4
38,2026-05-31,245,71,25,29,0.0,5.85,169.65,169.65,4
39,2026-05-21,2014,34,9,38,0.02,12.11,460.18,450.98,2
40,2026-01-31,1172,53,21,30,0.05,9.13,273.9,260.2,3
41,2026-07-03,1100,56,45,35,0.08,6.11,213.85,196.74,1
42,2026-02-13,1603,26,13,21,0.0,2.42,50.82,50.82,4
43,2026-06-27,247,28,41,44,0.0,7.94,349.36,349.36,1
44,2026-01-02,1131,78,14,15,0.02,2.4,36.0,35.28,4
45,2026-06-25,2917,66,5,36,0.0,3.13,112.68,112.68,3
46,2026-06-23,1886,41,37,17,0.08,7.66,130.22,119.8,5
47,2026-06-21,1722,43,49,39,0.02,12.22,476.58,467.05,4
48,2026-05-27,1517,1,58,41,0.05,3.6,147.6,140.22,1
49,2026-04-14,1407,17,31,10,0.08,6.96,69.6,64.03,3
50,2026-06-05,2810,1,37,31,0.02,3.6,111.6,109.37,5
51,2026-03-02,2792,65,41,26,0.0,7.95,206.7,206.7,1
52,2026-06-21,1229,76,25,20,0.0,4.97,99.4,99.4,4
53,2026-05-03,2775,13,3,14,0.0,10.13,141.82,141.82,4
54,2026-04-11,248,23,15,31,0.0,9.9,306.9,306.9,4
55,2026-04-22,960,29,23,41,0.02,9.08,372.28,364.83,1
56,2026-05-06,906,65,40,18,0.0,7.95,143.1,143.1,4
57,2026-01-09,2092,33,19,17,0.0,12.02,204.34,204.34,5
58,2026-01-31,1818,4,13,43,0.08,5.58,239.94,220.74,4
59,2026-02-24,1418,47,55,38,0.0,3.07,116.66,116.66,3
60,2026-01-26,769,12,6,36,0.0,3.79,136.44,136.44,5
61,2026-04-07,1521,52,48,30,0.02,10.54,316.2,309.88,5
62,2026-05-28,807,69,6,5,0.1,6.21,31.05,27.94,5
63,2026-05-24,1493,6,20,8,0.0,8.96,71.68,71.68,3
64,2026-04-14,1019,80,52,3,0.0,3.52,10.56,10.56,1
65,2026-07-08,2666,54,51,16,0.08,3.71,59.36,54.61,4
66,2026-05-05,2239,5,23,2,0.1,4.73,9.46,8.51,1
67,2026-01-18,526,18,2,24,0.0,9.0,216.0,216.0,4
68,2026-06-18,2821,14,57,2,0.0,4.75,9.5,9.5,3
69,2026-05-07,1977,71,54,49,0.0,5.85,286.65,286.65,3
70,2026-05-20,1052,58,30,25,0.08,6.97,174.25,160.31,3
71,2026-05-05,1592,30,2,1,0.0,7.33,7.33,7.33,4
72,2026-05-02,587,43,42,9,0.1,12.22,109.98,98.98,4
73,2026-01-20,141,28,47,10,0.02,7.94,79.4,77.81,3
74,2026-05-04,1262,33,50,34,0.0,12.02,408.68,408.68,4
75,2026-06-24,2347,52,44,38,0.08,10.54,400.52,368.48,2
76,2026-03-08,1056,16,53,24,0.1,9.42,226.08,203.47,2
77,2026-05-13,1153,61,31,36,0.08,7.6,273.6,251.71,3
78,2026-01-07,2971,76,10,5,0.0,4.97,24.85,24.85,1
79,2026-03-18,2962,78,42,16,0.0,2.4,38.4,38.4,4
80,2026-04-07,1392,14,14,1,0.0,4.75,4.75,4.75,4
81,2026-08-05,133,33,38,20,0.05,12.02,240.4,228.38,5
82,2026-02-17,2038,22,10,2,0.1,12.74,25.48,22.93,1
83,2026-03-02,2145,51,3,39,0.0,9.95,388.05,388.05,4
84,2026-03-31,2742,26,27,27,0.0,2.42,65.34,65.34,3
85,2026-08-07,2845,32,36,37,0.1,5.34,197.58,177.82,1
86,2026-07-07,1888,12,10,29,0.0,3.79,109.91,109.91,1
87,2026-01-08,322,45,48,2,0.0,10.01,20.02,20.02,5
88,2026-02-21,749,43,40,18,0.0,12.22,219.96,219.96,4
89,2026-06-30,2151,45,49,1,0.1,10.01,10.01,9.01,4
90,2026-01-13,1823,28,22,4,0.1,7.94,31.76,28.58,2
91,2026-07-08,1308,61,40,47,0.1,7.6,357.2,321.48,4
92,2026-03-03,1206,49,58,46,0.08,3.37,155.02,142.62,1
93,2026-07-21,2129,15,11,6,0.0,6.73,40.38,40.38,3
94,2026-03-06,1268,30,49,20,0.0,7.33,146.6,146.6,4
95,2026-04-06,465,53,38,15,0.1,9.13,136.95,123.26,5
96,2026-05-26,2938,10,44,22,0.0,11.95,262.9,262.9,2
97,2026-01-28,1049,29,38,30,0.0,9.08,272.4,272.4,5
98,2026-05-03,836,70,42,19,0.02,10.18,193.42,189.55,4
99,2026-04-22,208,36,47,40,0.1,3.74,149.6,134.64,3
100,2026-06-22,1407,41,3,3,0.08,7.66,22.98,21.14,4
101,2026-08-08,2959,55,2,29,0.0,6.26,181.54,181.54,4
102,2026-05-27,480,26,6,35,0.0,2.42,84.7,84.7,5
103,2026-04-01,735,67,56,28,0.08,8.43,236.04,217.16,1
104,2026-03-31,536,2,26,33,0.0,9.61,317.13,317.13,4
105,2026-04-02,283,38,60,31,0.0,8.53,264.43,264.43,4
106,2026-06-29,1811,48,55,9,0.08,7.79,70.11,64.5,3
107,2026-03-12,895,20,21,39,0.0,10.02,390.78,390.78,3
108,2026-02-06,2254,63,6,14,0.0,4.72,66.08,66.08,5
109,2026-03-15,1202,7,51,9,0.1,2.81,25.29,22.76,4
110,2026-01-05,1910,53,26,27,0.02,9.13,246.51,241.58,4
111,2026-01-24,269,51,18,32,0.08,9.95,318.4,292.93,1
112,2026-01-20,988,64,48,19,0.05,7.94,150.86,143.32,5
113,2026-06-19,1243,17,29,3,0.08,6.96,20.88,19.21,3
114,2026-06-08,179,13,20,49,0.05,10.13,496.37,471.55,3
115,2026-06-03,1258,47,24,40,0.05,3.07,122.8,116.66,5
116,2026-04-12,1411,78,56,25,0.02,2.4,60.0,58.8,1
117,2026-06-07,1212,63,19,18,0.0,4.72,84.96,84.96,5
118,2026-02-05,1513,17,57,44,0.08,6.96,306.24,281.74,3
119,2026-07-18,2392,33,36,18,0.02,12.02,216.36,212.03,1
120,2026-04-21,2312,22,4,11,0.05,12.74,140.14,133.13,3
121,2026-07-26,43,63,7,13,0.0,4.72,61.36,61.36,1
122,2026-02-03,1921,41,37,28,0.08,7.66,214.48,197.32,5
123,2026-04-20,2713,35,9,37,0.08,12.35,456.95,420.39,2
124,2026-06-03,2614,1,9,16,0.05,3.6,57.6,54.72,2
125,2026-04-20,971,51,28,10,0.0,9.95,99.5,99.5,5
126,2026-04-09,2349,36,27,46,0.02,3.74,172.04,168.6,3
127,2026-02-06,2403,4,57,5,0.0,5.58,27.9,27.9,3
128,2026-03-25,1098,16,54,28,0.05,9.42,263.76,250.57,3
129,2026-02-22,2608,59,56,9,0.0,3.49,31.41,31.41,1
130,2026-03-08,1897,60,5,33,0.0,13.12,432.96,432.96,3
131,2026-05-31,2254,40,49,19,0.1,8.23,156.37,140.73,4
132,2026-05-19,2242,61,57,4,0.0,7.6,30.4,30.4,3
133,2026-05-14,2345,60,37,9,0.02,13.12,118.08,115.72,5
134,2026-03-21,2871,50,60,24,0.02,7.46,179.04,175.46,4
135,2026-07-31,2573,17,49,8,0.1,6.96,55.68,50.11,4
136,2026-01-20,1268,34,41,29,0.1,12.11,351.19,316.07,1
137,2026-03-17,1687,66,25,40,0.08,3.13,125.2,115.18,4
138,2026-01-26,1945,25,22,15,0.05,12.55,188.25,178.84,2
139,2026-03-16,2570,53,24,46,0.0,9.13,419.98,419.98,5
140,2026-07-31,1178,67,16,37,0.08,8.43,311.91,286.96,4
141,2026-03-22,939,43,35,5,0.0,12.22,61.1,61.1,5
142,2026-07-19,2214,41,26,23,0.05,7.66,176.18,167.37,4
143,2026-04-19,2863,16,18,28,0.0,9.42,263.76,263.76,1
144,2026-06-03,2736,40,11,28,0.02,8.23,230.44,225.83,3
145,2026-04-11,444,4,31,23,0.05,5.58,128.34,121.92,3
146,2026-02-28,2758,10,2,18,0.0,11.95,215.1,215.1,4
147,2026-06-18,2368,44,23,28,0.0,9.44,264.32,264.32,1
148,2026-08-02,472,18,4,34,0.0,9.0,306.0,306.0,3
149,2026-02-27,20,28,21,42,0.0,7.94,333.48,333.48,3
150,2026-06-21,613,29,40,6,0.0,9.08,54.48,54.48,4
151,2026-02-27,2789,38,39,7,0.1,8.53,59.71,53.74,2
152,2026-06-07,2265,56,2,25,0.1,6.11,152.75,137.48,4
153,2026-06-23,1726,36,43,21,0.05,3.74,78.54,74.61,4
154,2026-04-09,1894,68,19,44,0.0,10.13,445.72,445.72,5
155,2026-06-12,1240,39,29,29,0.08,4.8,139.2,128.06,3
156,2026-03-01,2716,80,41,12,0.05,3.52,42.24,40.13,1
157,2026-01-18,469,80,3,42,0.0,3.52,147.84,147.84,4
158,2026-01-22,942,35,11,43,0.02,12.35,531.05,520.43,3
159,2026-04-09,602,62,10,3,0.0,7.28,21.84,21.84,1
160,2026-07-18,2545,37,20,44,0.0,7.86,345.84,345.84,3
161,2026-01-29,1621,71,1,18,0.0,5.85,105.3,105.3,1
162,2026-04-11,2052,62,2,12,0.0,7.28,87.36,87.36,4
163,2026-06-04,2759,28,31,6,0.1,7.94,47.64,42.88,3
164,2026-02-14,587,26,7,4,0.1,2.42,9.68,8.71,1
165,2026-06-08,2894,71,27,3,0.0,5.85,17.55,17.55,3
166,2026-03-09,380,44,14,38,0.0,9.44,358.72,358.72,4
167,2026-06-27,2263,56,60,45,0.08,6.11,274.95,252.95,4
168,2026-05-08,2109,55,8,47,0.0,6.26,294.22,294.22,4
169,2026-05-01,2477,14,29,26,0.08,4.75,123.5,113.62,3
170,2026-02-08,476,19,29,13,0.0,3.17,41.21,41.21,3
171,2026-04-12,2880,73,45,44,0.02,8.39,369.16,361.78,1
172,2026-07-08,2383,23,8,45,0.0,9.9,445.5,445.5,4
173,2026-01-05,332,70,58,20,0.08,10.18,203.6,187.31,1
174,2026-06-16,1672,29,19,11,0.08,9.08,99.88,91.89,5
175,2026-04-19,2452,68,3,42,0.02,10.13,425.46,416.95,4
176,2026-06-08,1431,47,44,18,0.1,3.07,55.26,49.73,2
177,2026-05-26,1143,8,33,27,0.05,9.49,256.23,243.42,1
178,2026-04-06,827,22,40,44,0.0,12.74,560.56,560.56,4
179,2026-03-09,1548,77,55,9,0.05,8.09,72.81,69.17,3
180,2026-05-19,2952,17,23,15,0.02,6.96,104.4,102.31,1
181,2026-01-31,1823,19,55,11,0.05,3.17,34.87,33.13,3
182,2026-05-09,2167,12,56,38,0.05,3.79,144.02,136.82,1
183,2026-01-21,2339,49,33,6,0.08,3.37,20.22,18.6,1
184,2026-05-23,2335,65,48,8,0.0,7.95,63.6,63.6,5
185,2026-05-19,1202,75,3,17,0.0,5.8,98.6,98.6,4
186,2026-01-19,2307,71,37,19,0.0,5.85,111.15,111.15,5
187,2026-06-16,985,71,5,37,0.0,5.85,216.45,216.45,3
188,2026-04-02,1753,73,27,47,0.02,8.39,394.33,386.44,3
189,2026-06-23,908,46,45,30,0.0,4.08,122.4,122.4,1
190,2026-01-10,2820,66,4,12,0.05,3.13,37.56,35.68,3
191,2026-02-09,2191,51,25,33,0.05,9.95,328.35,311.93,4
192,2026-04-19,1752,11,25,35,0.1,5.57,194.95,175.46,4
193,2026-02-11,1355,2,15,5,0.0,9.61,48.05,48.05,4
194,2026-03-14,1561,8,33,46,0.02,9.49,436.54,427.81,1
195,2026-05-26,2340,28,49,26,0.08,7.94,206.44,189.92,4
196,2026-02-01,822,40,60,39,0.0,8.23,320.97,320.97,4
197,2026-05-30,2486,52,55,3,0.1,10.54,31.62,28.46,3
198,2026-01-23,846,42,58,47,0.05,10.25,481.75,457.66,1
199,2026-02-08,425,30,13,48,0.02,7.33,351.84,344.8,4
200,2026-05-10,2211,59,7,47,0.0,3.49,164.03,164.03,1
201,2026-06-24,2126,69,11,26,0.02,6.21,161.46,158.23,3
202,2026-02-07,1005,18,59,6,0.0,9.0,54.0,54.0,4
203,2026-03-07,1947,21,14,23,0.0,13.18,303.14,303.14,4
204,2026-07-23,2187,75,46,30,0.0,5.8,174.0,174.0,5
205,2026-08-06,2364,78,25,22,0.0,2.4,52.8,52.8,4
206,2026-05-08,2859,25,41,21,0.0,12.55,263.55,263.55,1
207,2026-04-09,2564,41,46,18,0.1,7.66,137.88,124.09,5
208,2026-03-18,1318,47,55,34,0.02,3.07,104.38,102.29,3
209,2026-05-15,691,51,6,29,0.0,9.95,288.55,288.55,5
210,2026-05-11,292,70,20,37,0.0,10.18,376.66,376.66,3
211,2026-03-06,1722,9,8,4,0.05,8.06,32.24,30.63,4
212,2026-01-06,2000,42,24,13,0.1,10.25,133.25,119.92,5
213,2026-02-03,2073,18,22,44,0.02,9.0,396.0,388.08,2
214,2026-07-30,29,61,53,40,0.0,7.6,304.0,304.0,2
215,2026-04-02,2105,48,43,34,0.02,7.79,264.86,259.56,4
216,2026-04-17,2362,60,7,21,0.05,13.12,275.52,261.74,1
217,2026-04-13,2166,73,27,21,0.0,8.39,176.19,176.19,3
218,2026-06-22,1577,64,43,33,0.05,7.94,262.02,248.92,4
219,2026-01-15,46,69,45,38,0.0,6.21,235.98,235.98,1
220,2026-01-19,1470,65,49,21,0.1,7.95,166.95,150.26,4
221,2026-03-02,1935,51,14,44,0.02,9.95,437.8,429.04,4
222,2026-04-18,1709,32,54,17,0.02,5.34,90.78,88.96,3
223,2026-05-28,1724,27,55,16,0.05,7.64,122.24,116.13,3
224,2026-04-18,1550,30,14,35,0.08,7.33,256.55,236.03,4
225,2026-04-08,1657,49,40,39,0.0,3.37,131.43,131.43,4
226,2026-07-26,972,65,41,27,0.0,7.95,214.65,214.65,1
227,2026-02-05,1815,30,53,47,0.0,7.33,344.51,344.51,2
228,2026-05-06,845,47,6,42,0.0,3.07,128.94,128.94,5
229,2026-04-30,1475,34,14,11,0.02,12.11,133.21,130.55,4
230,2026-04-15,1246,49,52,39,0.0,3.37,131.43,131.43,1
231,2026-06-27,2143,66,3,40,0.08,3.13,125.2,115.18,4
232,2026-02-28,2685,33,29,43,0.05,12.02,516.86,491.02,3
233,2026-07-29,1900,32,18,26,0.1,5.34,138.84,124.96,1
234,2026-03-14,407,17,38,38,0.0,6.96,264.48,264.48,5
235,2026-04-30,2003,40,29,36,0.02,8.23,296.28,290.35,3
236,2026-04-25,975,37,52,45,0.0,7.86,353.7,353.7,1
237,2026-07-06,149,13,5,15,0.0,10.13,151.95,151.95,3
238,2026-04-07,577,78,31,8,0.0,2.4,19.2,19.2,3
239,2026-03-04,2999,69,32,38,0.1,6.21,235.98,212.38,2
240,2026-01-05,1282,24,31,32,0.02,10.19,326.08,319.56,3
241,2026-03-22,606,76,5,48,0.0,4.97,238.56,238.56,3
242,2026-07-01,401,22,28,5,0.0,12.74,63.7,63.7,5
243,2026-01-03,1951,34,53,2,0.08,12.11,24.22,22.28,2
244,2026-07-17,2283,11,37,25,0.08,5.57,139.25,128.11,5
245,2026-04-30,1060,49,7,30,0.08,3.37,101.1,93.01,1
246,2026-01-31,311,39,44,43,0.05,4.8,206.4,196.08,2
247,2026-03-08,1065,22,56,33,0.1,12.74,420.42,378.38,1
248,2026-05-02,1996,24,49,36,0.1,10.19,366.84,330.16,4
249,2026-03-11,342,75,6,20,0.0,5.8,116.0,116.0,5
250,2026-01-24,804,55,2,29,0.1,6.26,181.54,163.39,4
251,2026-05-27,7,13,11,7,0.05,10.13,70.91,67.36,3
252,2026-05-28,1417,11,21,35,0.0,5.57,194.95,194.95,3
253,2026-01-27,512,6,56,7,0.08,8.96,62.72,57.7,1
254,2026-03-03,600,20,26,9,0.0,10.02,90.18,90.18,4
255,2026-02-23,340,60,59,9,0.1,13.12,118.08,106.27,4
256,2026-05-26,2191,5,6,46,0.0,4.73,217.58,217.58,5
257,2026-06-10,1469,20,46,9,0.02,10.02,90.18,88.38,5
258,2026-06-09,2845,4,46,11,0.1,5.58,61.38,55.24,5
259,2026-07-26,1186,52,58,49,0.08,10.54,516.46,475.14,1
260,2026-06-19,666,66,32,9,0.0,3.13,28.17,28.17,2
261,2026-03-12,613,43,37,27,0.1,12.22,329.94,296.95,5
262,2026-01-24,2860,73,1,7,0.0,8.39,58.73,58.73,1
263,2026-05-16,1770,56,53,22,0.02,6.11,134.42,131.73,2
264,2026-07-21,976,62,38,46,0.0,7.28,334.88,334.88,5
265,2026-08-03,1963,26,43,17,0.0,2.42,41.14,41.14,4
266,2026-02-20,1674,70,21,23,0.02,10.18,234.14,229.46,3
267,2026-02-22,345,51,5,43,0.0,9.95,427.85,427.85,3
268,2026-01-09,2105,7,44,27,0.0,2.81,75.87,75.87,2
269,2026-02-01,358,7,44,47,0.0,2.81,132.07,132.07,2
270,2026-05-03,598,72,11,19,0.08,5.41,102.79,94.57,3
271,2026-05-01,2140,23,50,12,0.05,9.9,118.8,112.86,4
272,2026-03-23,1335,38,1,2,0.02,8.53,17.06,16.72,1
273,2026-03-10,667,61,40,20,0.02,7.6,152.0,148.96,4
274,2026-07-02,204,62,6,4,0.1,7.28,29.12,26.21,5
275,2026-04-12,1781,3,46,29,0.02,6.04,175.16,171.66,5
276,2026-06-27,2092,50,27,1,0.1,7.46,7.46,6.71,3
277,2026-07-31,610,74,20,6,0.0,5.29,31.74,31.74,3
278,2026-03-11,1250,28,45,27,0.08,7.94,214.38,197.23,1
279,2026-02-14,1033,44,49,30,0.05,9.44,283.2,269.04,4
280,2026-07-29,2675,22,37,10,0.0,12.74,127.4,127.4,5
281,2026-05-20,2373,58,45,37,0.0,6.97,257.89,257.89,1
282,2026-03-06,822,10,1,20,0.0,11.95,239.0,239.0,1
283,2026-05-17,1541,42,50,10,0.05,10.25,102.5,97.38,4
284,2026-04-24,2771,34,36,23,0.0,12.11,278.53,278.53,1
285,2026-07-19,1038,52,10,46,0.05,10.54,484.84,460.6,1
286,2026-02-26,424,40,29,27,0.05,8.23,222.21,211.1,3
287,2026-08-07,895,79,38,42,0.08,11.94,501.48,461.36,5
288,2026-07-25,1821,79,48,44,0.0,11.94,525.36,525.36,5
289,2026-02-09,2977,23,32,12,0.0,9.9,118.8,118.8,2
290,2026-02-06,924,3,16,3,0.0,6.04,18.12,18.12,4
291,2026-04-28,176,40,16,33,0.02,8.23,271.59,266.16,4
292,2026-01-10,546,48,44,25,0.0,7.79,194.75,194.75,2
293,2026-03-07,1238,61,52,18,0.02,7.6,136.8,134.06,1
294,2026-04-06,282,42,38,7,0.0,10.25,71.75,71.75,5
295,2026-08-02,105,47,48,8,0.0,3.07,24.56,24.56,5
296,2026-08-07,1967,2,38,46,0.0,9.61,442.06,442.06,5
297,2026-02-03,2474,62,30,8,0.05,7.28,58.24,55.33,3
298,2026-07-16,700,27,25,45,0.0,7.64,343.8,343.8,4
299,2026-01-21,1568,31,30,14,0.05,4.2,58.8,55.86,3
300,2026-06-14,1719,34,1,7,0.0,12.11,84.77,84.77,1
301,2026-07-06,2003,6,35,26,0.0,8.96,232.96,232.96,5
302,2026-07-15,2939,40,12,6,0.1,8.23,49.38,44.44,5
303,2026-02-19,2656,31,55,14,0.02,4.2,58.8,57.62,3
304,2026-07-16,948,19,51,6,0.05,3.17,19.02,18.07,4
305,2026-01-26,2928,20,30,1,0.08,10.02,10.02,9.22,3
306,2026-04-25,105,3,38,5,0.0,6.04,30.2,30.2,5
307,2026-04-14,2886,72,3,48,0.0,5.41,259.68,259.68,4
308,2026-03-11,429,24,35,8,0.08,10.19,81.52,75.0,5
309,2026-01-05,342,70,52,11,0.05,10.18,111.98,106.38,1
310,2026-06-19,358,67,32,8,0.02,8.43,67.44,66.09,2
311,2026-03-15,367,37,52,4,0.1,7.86,31.44,28.3,1
312,2026-05-26,1390,65,5,9,0.02,7.95,71.55,70.12,3
313,2026-04-01,1921,17,59,6,0.0,6.96,41.76,41.76,4
314,2026-03-24,2234,15,21,8,0.08,6.73,53.84,49.53,3
315,2026-07-14,48,72,2,23,0.08,5.41,124.43,114.48,4
316,2026-01-21,890,52,38,19,0.0,10.54,200.26,200.26,5
317,2026-06-12,397,56,37,9,0.0,6.11,54.99,54.99,5
318,2026-06-14,438,74,8,13,0.08,5.29,68.77,63.27,4
319,2026-03-25,2240,2,21,23,0.0,9.61,221.03,221.03,3
320,2026-02-27,1923,14,56,21,0.0,4.75,99.75,99.75,1
321,2026-01-02,630,77,12,6,0.08,8.09,48.54,44.66,5
322,2026-07-26,904,11,5,44,0.0,5.57,245.08,245.08,3
323,2026-07-28,2775,36,50,20,0.08,3.74,74.8,68.82,4
324,2026-02-23,1726,2,41,18,0.02,9.61,172.98,169.52,1
325,2026-01-08,717,27,30,29,0.1,7.64,221.56,199.4,3
326,2026-01-28,2802,14,19,15,0.08,4.75,71.25,65.55,5
327,2026-01-15,596,21,53,31,0.02,13.18,408.58,400.41,2
328,2026-07-02,875,66,52,45,0.08,3.13,140.85,129.58,1
329,2026-07-16,2079,23,1,42,0.0,9.9,415.8,415.8,1
330,2026-02-03,1538,66,50,16,0.1,3.13,50.08,45.07,4
331,2026-06-14,208,72,29,5,0.1,5.41,27.05,24.35,3
332,2026-02-09,2421,44,20,6,0.0,9.44,56.64,56.64,3
333,2026-03-22,685,44,21,11,0.02,9.44,103.84,101.76,3
334,2026-05-12,2076,27,28,31,0.1,7.64,236.84,213.16,5
335,2026-06-08,1004,54,35,25,0.0,3.71,92.75,92.75,5
336,2026-07-12,2255,65,58,14,0.0,7.95,111.3,111.3,1
337,2026-01-10,2695,70,2,10,0.1,10.18,101.8,91.62,4
338,2026-02-13,2318,16,37,26,0.0,9.42,244.92,244.92,5
339,2026-03-03,2764,55,4,48,0.0,6.26,300.48,300.48,3
340,2026-03-10,1620,12,1,38,0.02,3.79,144.02,141.14,1
341,2026-08-08,196,40,19,13,0.02,8.23,106.99,104.85,5
342,2026-06-21,1609,8,47,28,0.0,9.49,265.72,265.72,3
343,2026-03-12,1384,45,21,25,0.1,10.01,250.25,225.22,3
344,2026-08-02,2157,69,22,40,0.0,6.21,248.4,248.4,2
345,2026-04-20,747,66,55,17,0.1,3.13,53.21,47.89,3
346,2026-04-21,2093,58,17,17,0.05,6.97,118.49,112.57,3
347,2026-04-06,1325,47,47,22,0.0,3.07,67.54,67.54,3
348,2026-02-01,2011,50,50,9,0.0,7.46,67.14,67.14,4
349,2026-07-25,1260,8,39,43,0.0,9.49,408.07,408.07,2
350,2026-01-04,1147,59,59,20,0.1,3.49,69.8,62.82,4
351,2026-02-08,643,55,60,43,0.05,6.26,269.18,255.72,4
352,2026-02-20,2486,12,4,21,0.1,3.79,79.59,71.63,3
353,2026-03-03,207,51,11,34,0.0,9.95,338.3,338.3,3
354,2026-01-30,709,31,24,36,0.1,4.2,151.2,136.08,5
355,2026-01-04,1281,41,40,39,0.08,7.66,298.74,274.84,4
356,2026-05-30,468,66,17,34,0.02,3.13,106.42,104.29,3
357,2026-08-02,2751,26,39,34,0.05,2.42,82.28,78.17,2
358,2026-01-27,1036,74,54,16,0.0,5.29,84.64,84.64,3
359,2026-03-07,728,34,1,4,0.02,12.11,48.44,47.47,1
360,2026-04-22,762,42,53,46,0.1,10.25,471.5,424.35,2
361,2026-07-24,576,3,30,42,0.08,6.04,253.68,233.39,3
362,2026-06-02,1990,10,55,14,0.0,11.95,167.3,167.3,3
363,2026-06-18,1444,23,41,2,0.02,9.9,19.8,19.4,1
364,2026-05-08,694,79,3,49,0.0,11.94,585.06,585.06,4
365,2026-04-02,2620,21,55,5,0.0,13.18,65.9,65.9,3
366,2026-02-13,1970,32,4,2,0.05,5.34,10.68,10.15,3
367,2026-07-10,1209,69,16,49,0.0,6.21,304.29,304.29,4
368,2026-06-26,1540,26,34,34,0.05,2.42,82.28,78.17,3
369,2026-01-06,1969,66,55,30,0.1,3.13,93.9,84.51,3
370,2026-06-07,458,10,11,31,0.0,11.95,370.45,370.45,3
371,2026-01-19,2426,11,33,37,0.0,5.57,206.09,206.09,1
372,2026-06-12,776,2,7,29,0.0,9.61,278.69,278.69,1
373,2026-07-01,89,10,21,37,0.0,11.95,442.15,442.15,3
374,2026-01-29,1566,49,16,39,0.0,3.37,131.43,131.43,4
375,2026-04-06,2630,8,26,11,0.0,9.49,104.39,104.39,4
376,2026-01-28,2200,49,43,29,0.0,3.37,97.73,97.73,4
377,2026-05-05,926,48,44,17,0.08,7.79,132.43,121.84,2
378,2026-07-24,1195,19,41,30,0.0,3.17,95.1,95.1,1
379,2026-01-18,1788,3,2,9,0.0,6.04,54.36,54.36,4
380,2026-03-29,699,13,48,43,0.1,10.13,435.59,392.03,5
381,2026-08-03,2461,12,39,14,0.05,3.79,53.06,50.41,2
382,2026-03-08,886,43,4,10,0.08,12.22,122.2,112.42,3
383,2026-01-30,651,75,57,6,0.08,5.8,34.8,32.02,3
384,2026-04-18,286,35,46,27,0.0,12.35,333.45,333.45,5
385,2026-04-22,2080,51,42,18,0.05,9.95,179.1,170.14,4
386,2026-05-26,76,25,30,35,0.0,12.55,439.25,439.25,3
387,2026-03-11,2417,8,48,21,0.02,9.49,199.29,195.3,5
388,2026-07-30,2920,18,19,16,0.1,9.0,144.0,129.6,5
