cd_id,produto_id,quantidade_estoque,estoque_minimo,data_atualizacao
3,51,1124,226,2026-08-08T08:00:00
3,52,1008,158,2026-08-08T08:00:00
3,53,905,72,2026-08-08T08:00:00
3,54,1212,171,2026-08-08T08:00:00
3,55,1086,142,2026-08-08T08:00:00
3,56,1185,134,2026-08-08T08:00:00
3,57,1280,246,2026-08-08T08:00:00
3,58,255,249,2026-08-08T08:00:00
3,59,1191,131,2026-08-08T08:00:00
3,60,809,236,2026-08-08T08:00:00
3,61,770,98,2026-08-08T08:00:00
3,62,926,88,2026-08-08T08:00:00
3,63,583,181,2026-08-08T08:00:00
3,64,878,150,2026-08-08T08:00:00
3,65,210,199,2026-08-08T08:00:00
3,66,374,71,2026-08-08T08:00:00
3,67,416,146,2026-08-08T08:00:00
3,68,97,186,2026-08-08T08:00:00
3,69,1037,150,2026-08-08T08:00:00
3,70,697,107,2026-08-08T08:00:00
3,71,706,150,2026-08-08T08:00:00
3,72,889,167,2026-08-08T08:00:00
3,73,375,160,2026-08-08T08:00:00
3,74,571,163,2026-08-08T08:00:00
3,75,1003,138,2026-08-08T08:00:00
3,76,513,116,2026-08-08T08:00:00
3,77,1311,64,2026-08-08T08:00:00
3,78,1231,59,2026-08-08T08:00:00
3,79,954,156,2026-08-08T08:00:00
3,80,1075,221,2026-08-08T08:00:00
4,1,1241,207,2026-08-08T08:00:00
4,2,888,157,2026-08-08T08:00:00
4,3,1035,177,2026-08-08T08:00:00
4,4,783,245,2026-08-08T08:00:00
4,5,463,243,2026-08-08T08:00:00
4,6,1080,248,2026-08-08T08:00:00
4,7,370,53,2026-08-08T08:00:00
4,8,564,177,2026-08-08T08:00:00
4,9,1415,199,2026-08-08T08:00:00
4,10,362,70,2026-08-08T08:00:00
4,11,836,122,2026-08-08T08:00:00
4,12,548,83,2026-08-08T08:00:00
4,13,832,126,2026-08-08T08:00:00
4,14,231,138,2026-08-08T08:00:00
4,15,148,85,2026-08-08T08:00:00
4,16,934,149,2026-08-08T08:00:00
4,17,143,87,2026-08-08T08:00:00
4,18,66,234,2026-08-08T08:00:00
4,19,647,83,2026-08-08T08:00:00
4,20,513,152,2026-08-08T08:00:00
4,21,81,118,2026-08-08T08:00:00
4,22,695,134,2026-08-08T08:00:00
4,23,1480,127,2026-08-08T08:00:00
4,24,272,245,2026-08-08T08:00:00
4,25,1456,182,2026-08-08T08:00:00
4,26,1229,59,2026-08-08T08:00:00
4,27,893,217,2026-08-08T08:00:00
4,28,1,159,2026-08-08T08:00:00
4,29,232,73,2026-08-08T08:00:00
4,30,985,144,2026-08-08T08:00:00
4,31,643,76,2026-08-08T08:00:00
4,32,493,161,2026-08-08T08:00:00
4,33,627,124,2026-08-08T08:00:00
4,34,1447,63,2026-08-08T08:00:00
4,35,624,180,2026-08-08T08:00:00
4,36,875,96,2026-08-08T08:00:00
4,37,850,203,2026-08-08T08:00:00
4,38,767,230,2026-08-08T08:00:00
4,39,1020,98,2026-08-08T08:00:00
4,40,972,111,2026-08-08T08:00:00
4,41,379,59,2026-08-08T08:00:00
4,42,1125,146,2026-08-08T08:00:00
4,43,1231,218,2026-08-08T08:00:00
4,44,409,72,2026-08-08T08:00:00
4,45,1091,83,2026-08-08T08:00:00
4,46,1022,198,2026-08-08T08:00:00
4,47,1053,177,2026-08-08T08:00:00
4,48,332,89,2026-08-08T08:00:00
4,49,987,84,2026-08-08T08:00:00
4,50,711,64,2026-08-08T08:00:00
4,51,379,53,2026-08-08T08:00:00
4,52,439,134,2026-08-08T08:00:00
4,53,146,71,2026-08-08T08:00:00
4,54,1130,108,2026-08-08T08:00:00
4,55,661,224,2026-08-08T08:00:00
4,56,77,59,2026-08-08T08:00:00
4,57,543,209,2026-08-08T08:00:00
4,58,1450,126,2026-08-08T08:00:00
4,59,444,132,2026-08-08T08:00:00
4,60,802,244,2026-08-08T08:00:00
4,61,343,163,2026-08-08T08:00:00
4,62,1327,57,2026-08-08T08:00:00
4,63,946,208,2026-08-08T08:00:00
4,64,522,160,2026-08-08T08:00:00
4,65,1250,205,2026-08-08T08:00:00
4,66,946,80,2026-08-08T08:00:00
4,67,304,102,2026-08-08T08:00:00
4,68,1040,232,2026-08-08T08:00:00
4,69,772,135,2026-08-08T08:00:00
4,70,1450,152,2026-08-08T08:00:00
4,71,1030,178,2026-08-08T08:00:00
4,72,1289,155,2026-08-08T08:00:00
4,73,548,200,2026-08-08T08:00:00
4,74,84,94,2026-08-08T08:00:00
4,75,167,234,2026-08-08T08:00:00
4,76,1316,60,2026-08-08T08:00:00
4,77,362,149,2026-08-08T08:00:00
4,78,1448,249,2026-08-08T08:00:00
4,79,895,181,2026-08-08T08:00:00
4,80,489,146,2026-08-08T08:00:00
5,1,1397,240,2026-08-08T08:00:00
5,2,815,65,2026-08-08T08:00:00
5,3,481,134,2026-08-08T08:00:00
5,4,458,230,2026-08-08T08:00:00
5,5,786,186,2026-08-08T08:00:00
5,6,1196,123,2026-08-08T08:00:00
5,7,1231,245,2026-08-08T08:00:00
5,8,512,201,2026-08-08T08:00:00
5,9,843,245,2026-08-08T08:00:00
5,10,1034,166,2026-08-08T08:00:00
5,11,1236,51,2026-08-08T08:00:00
5,12,1322,244,2026-08-08T08:00:00
5,13,1185,214,2026-08-08T08:00:00
5,14,532,160,2026-08-08T08:00:00
5,15,235,82,2026-08-08T08:00:00
5,16,696,226,2026-08-08T08:00:00
5,17,875,177,2026-08-08T08:00:00
5,18,1441,50,2026-08-08T08:00:00
5,19,73,148,2026-08-08T08:00:00
5,20,261,246,2026-08-08T08:00:00
5,21,468,167,2026-08-08T08:00:00
5,22,1,192,2026-08-08T08:00:00
5,23,1471,181,2026-08-08T08:00:00
5,24,693,153,2026-08-08T08:00:00
5,25,659,188,2026-08-08T08:00:00
5,26,208,89,2026-08-08T08:00:00
5,27,849,117,2026-08-08T08:00:00
5,28,1307,227,2026-08-08T08:00:00
5,29,1411,103,2026-08-08T08:00:00
5,30,455,133,2026-08-08T08:00:00
5,31,1180,70,2026-08-08T08:00:00
5,32,1062,236,2026-08-08T08:00:00
5,33,1320,103,2026-08-08T08:00:00
5,34,608,166,2026-08-08T08:00:00
5,35,464,129,2026-08-08T08:00:00
5,36,537,119,2026-08-08T08:00:00
5,37,537,83,2026-08-08T08:00:00
5,38,701,249,2026-08-08T08:00:00
5,39,376,107,2026-08-08T08:00:00
5,40,350,129,2026-08-08T08:00:00
5,41,94,88,2026-08-08T08:00:00
5,42,430,175,2026-08-08T08:00:00
5,43,517,67,2026-08-08T08:00:00
5,44,800,182,2026-08-08T08:00:00
5,45,953,150,2026-08-08T08:00:00
5,46,327,179,2026-08-08T08:00:00
5,47,1266,50,2026-08-08T08:00:00
5,48,1089,184,2026-08-08T08:00:00
5,49,437,59,2026-08-08T08:00:00
5,50,786,233,2026-08-08T08:00:00
5,51,1152,208,2026-08-08T08:00:00
5,52,601,74,2026-08-08T08:00:00
5,53,834,161,2026-08-08T08:00:00
5,54,842,241,2026-08-08T08:00:00
5,55,1149,98,2026-08-08T08:00:00
5,56,1162,64,2026-08-08T08:00:00
5,57,575,134,2026-08-08T08:00:00
5,58,587,77,2026-08-08T08:00:00
5,59,407,205,2026-08-08T08:00:00
5,60,29,232,2026-08-08T08:00:00
5,61,1240,139,2026-08-08T08:00:00
5,62,298,249,2026-08-08T08:00:00
5,63,1437,88,2026-08-08T08:00:00
5,64,1209,233,2026-08-08T08:00:00
5,65,1250,114,2026-08-08T08:00:00
5,66,928,230,2026-08-08T08:00:00
5,67,915,230,2026-08-08T08:00:00
5,68,284,119,2026-08-08T08:00:00
5,69,1448,54,2026-08-08T08:00:00
5,70,1259,110,2026-08-08T08:00:00
5,71,217,137,2026-08-08T08:00:00
5,72,611,246,2026-08-08T08:00:00
5,73,541,187,2026-08-08T08:00:00
5,74,479,176,2026-08-08T08:00:00
5,75,1175,179,2026-08-08T08:00:00
5,76,957,129,2026-08-08T08:00:00
5,77,1089,187,2026-08-08T08:00:00
5,78,468,105,2026-08-08T08:00:00
5,79,76,200,2026-08-08T08:00:00
5,80,24,180,2026-08-08T08:00:00
